#: table_doi: 10.17182/hepdata.59488.v1/t50
#: name: Table 50
#: description: V_n vs PT for centrality 30 TO 40%.

#: data_file: Table50.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
3.9,3.8,4.0,0.07658,0.0018,-0.0018,0.00375,-0.00375
4.25,4.0,4.5,0.06765,0.00145,-0.00145,0.00331,-0.00331
4.75,4.5,5.0,0.06278,0.00202,-0.00202,0.00308,-0.00308
5.5,5.0,6.0,0.04911,0.00214,-0.00214,0.00241,-0.00241
6.5,6.0,7.0,0.03782,0.00341,-0.00341,0.00185,-0.00185
7.5,7.0,8.0,0.02914,0.005,-0.005,0.00143,-0.00143
9.0,8.0,10.0,0.02395,0.00549,-0.00549,0.00117,-0.00117
11.0,10.0,12.0,0.01306,0.00933,-0.00933,0.00064,-0.00064

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,5.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.001941,0.000284,-0.000284,0.000252,-0.000252
0.7,0.6,0.8,0.004155,0.000217,-0.000217,0.00054,-0.00054
0.9,0.8,1.0,0.007202,0.000262,-0.000262,0.000936,-0.000936
1.1,1.0,1.2,0.01121,0.00032,-0.00032,0.00146,-0.00146
1.2999999999999998,1.2,1.4,0.01494,0.00039,-0.00039,0.00194,-0.00194
1.5,1.4,1.6,0.01866,0.00048,-0.00048,0.00243,-0.00243
1.7000000000000002,1.6,1.8,0.02249,0.00059,-0.00059,0.00292,-0.00292
1.9,1.8,2.0,0.02684,0.00072,-0.00072,0.00349,-0.00349
2.1,2.0,2.2,0.03114,0.00088,-0.00088,0.00405,-0.00405
2.3,2.2,2.4,0.0364,0.00107,-0.00107,0.00473,-0.00473
2.5,2.4,2.6,0.03627,0.00129,-0.00129,0.00471,-0.00471
2.7,2.6,2.8,0.0403,0.00156,-0.00156,0.00524,-0.00524
2.9,2.8,3.0,0.04163,0.00187,-0.00187,0.00541,-0.00541
3.1,3.0,3.2,0.04652,0.00224,-0.00224,0.00605,-0.00605
3.3,3.2,3.4,0.05321,0.00266,-0.00266,0.00692,-0.00692
3.5,3.4,3.6,0.04689,0.00315,-0.00315,0.0061,-0.0061
3.7,3.6,3.8,0.04656,0.00369,-0.00369,0.00605,-0.00605
3.9,3.8,4.0,0.03848,0.00431,-0.00431,0.005,-0.005
4.25,4.0,4.5,0.03418,0.00348,-0.00348,0.00444,-0.00444
4.75,4.5,5.0,0.03251,0.00484,-0.00484,0.00423,-0.00423
5.5,5.0,6.0,0.02996,0.00512,-0.00512,0.0039,-0.0039
6.5,6.0,7.0,0.02306,0.00819,-0.00819,0.003,-0.003
7.5,7.0,8.0,-0.000515,0.011979,-0.011979,6.7e-05,-6.7e-05
9.0,8.0,10.0,-0.00022,0.013137,-0.013137,2.9e-05,-2.9e-05
11.0,10.0,12.0,0.01654,0.02238,-0.02238,0.00215,-0.00215

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,6.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.000868,0.00056,-0.00056,0.000312,-0.000312
0.7,0.6,0.8,0.001367,0.000428,-0.000428,0.000492,-0.000492
0.9,0.8,1.0,0.001507,0.000518,-0.000518,0.000542,-0.000542
1.1,1.0,1.2,0.00398,0.000634,-0.000634,0.001433,-0.001433
1.2999999999999998,1.2,1.4,0.003743,0.000776,-0.000776,0.001347,-0.001347
1.5,1.4,1.6,0.006753,0.000952,-0.000952,0.002431,-0.002431
1.7000000000000002,1.6,1.8,0.00838,0.001165,-0.001165,0.003017,-0.003017
1.9,1.8,2.0,0.008282,0.001422,-0.001422,0.002982,-0.002982
2.1,2.0,2.2,0.01159,0.00173,-0.00173,0.00417,-0.00417
2.3,2.2,2.4,0.01487,0.00211,-0.00211,0.00535,-0.00535
2.5,2.4,2.6,0.01773,0.00255,-0.00255,0.00638,-0.00638
2.7,2.6,2.8,0.01544,0.00308,-0.00308,0.00556,-0.00556
2.9,2.8,3.0,0.02683,0.0037,-0.0037,0.00966,-0.00966
3.1,3.0,3.2,0.02605,0.00442,-0.00442,0.00938,-0.00938
3.3,3.2,3.4,0.01277,0.00526,-0.00526,0.0046,-0.0046
3.5,3.4,3.6,0.03198,0.00621,-0.00621,0.01151,-0.01151
3.7,3.6,3.8,0.0207,0.00729,-0.00729,0.00745,-0.00745
3.9,3.8,4.0,0.01425,0.00851,-0.00851,0.00513,-0.00513
4.25,4.0,4.5,0.01379,0.00687,-0.00687,0.00496,-0.00496
4.75,4.5,5.0,0.02127,0.00955,-0.00955,0.00766,-0.00766
5.5,5.0,6.0,'-',0,0,0,0
6.5,6.0,7.0,'-',0,0,0,0
7.5,7.0,8.0,'-',0,0,0,0
9.0,8.0,10.0,'-',0,0,0,0
11.0,10.0,12.0,'-',0,0,0,0

