0.25	0.15	0.35	-0.0003971	4.07E-05	-4.07E-05
0.45	0.35	0.54	-0.0004647	4.45E-05	-4.45E-05
0.74	0.54	0.94	-0.0004006	4.03E-05	-4.03E-05
1.14	0.94	1.33	-0.0001105	5.80E-05	-5.80E-05
1.53	1.33	1.73	0.0002207	8.46E-05	-8.46E-05
1.92	1.73	2.12	0.0008819	0.0001255	-0.0001255
2.32	2.12	2.51	0.0018212	0.000186	-0.000186
2.71	2.51	2.91	0.0022782	0.0002719	-0.0002719
3.3	2.91	3.7	0.0027655	0.0003191	-0.0003191
4.29	3.7	4.88	0.0024739	0.0005547	-0.0005547
