#: table_doi: 10.17182/hepdata.59488.v1/t53
#: name: Table 53
#: description: V_n vs PT for centrality 60 TO 70%.

#: data_file: Table53.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,60.0-70.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.07719,0.00013,-0.00013,0.00309,-0.00309
0.7,0.6,0.8,0.0968,0.0001,-0.0001,0.00387,-0.00387
0.9,0.8,1.0,0.1208,0.0001,-0.0001,0.0048,-0.0048
1.1,1.0,1.2,0.1405,0.0002,-0.0002,0.0056,-0.0056
1.2999999999999998,1.2,1.4,0.1559,0.0002,-0.0002,0.0062,-0.0062
1.5,1.4,1.6,0.1685,0.0002,-0.0002,0.0067,-0.0067
1.7000000000000002,1.6,1.8,0.1779,0.0003,-0.0003,0.0071,-0.0071
1.9,1.8,2.0,0.1843,0.0004,-0.0004,0.0074,-0.0074
2.1,2.0,2.2,0.1886,0.0004,-0.0004,0.0075,-0.0075
2.3,2.2,2.4,0.192,0.0005,-0.0005,0.0077,-0.0077
2.5,2.4,2.6,0.1922,0.0006,-0.0006,0.0077,-0.0077
2.7,2.6,2.8,0.1899,0.0008,-0.0008,0.0076,-0.0076
2.9,2.8,3.0,0.1865,0.0009,-0.0009,0.0075,-0.0075
3.1,3.0,3.2,0.1833,0.0011,-0.0011,0.0073,-0.0073
3.3,3.2,3.4,0.1811,0.0013,-0.0013,0.0072,-0.0072
3.5,3.4,3.6,0.1778,0.0015,-0.0015,0.0071,-0.0071
3.7,3.6,3.8,0.1763,0.0017,-0.0017,0.0071,-0.0071
3.9,3.8,4.0,0.1698,0.002,-0.002,0.0068,-0.0068
4.25,4.0,4.5,0.161,0.0015,-0.0015,0.0064,-0.0064
4.75,4.5,5.0,0.1481,0.0021,-0.0021,0.0059,-0.0059
5.5,5.0,6.0,0.1374,0.0022,-0.0022,0.0055,-0.0055
6.5,6.0,7.0,0.1199,0.0034,-0.0034,0.0048,-0.0048
7.5,7.0,8.0,0.1106,0.005,-0.005,0.0044,-0.0044
9.0,8.0,10.0,0.1142,0.0055,-0.0055,0.0046,-0.0046
11.0,10.0,12.0,0.07411,0.00951,-0.00951,0.00296,-0.00296

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,60.0-70.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,3.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.01759,0.00047,-0.00047,0.0013,-0.0013
0.7,0.6,0.8,0.02422,0.00037,-0.00037,0.00179,-0.00179
0.9,0.8,1.0,0.03333,0.00047,-0.00047,0.00247,-0.00247
1.1,1.0,1.2,0.04258,0.00058,-0.00058,0.00315,-0.00315
1.2999999999999998,1.2,1.4,0.05035,0.00073,-0.00073,0.00373,-0.00373
1.5,1.4,1.6,0.05814,0.0009,-0.0009,0.0043,-0.0043
1.7000000000000002,1.6,1.8,0.06239,0.00111,-0.00111,0.00462,-0.00462
1.9,1.8,2.0,0.06368,0.00136,-0.00136,0.00471,-0.00471
2.1,2.0,2.2,0.07026,0.00166,-0.00166,0.0052,-0.0052
2.3,2.2,2.4,0.0676,0.002,-0.002,0.005,-0.005
2.5,2.4,2.6,0.06707,0.00241,-0.00241,0.00496,-0.00496
2.7,2.6,2.8,0.06564,0.00287,-0.00287,0.00486,-0.00486
2.9,2.8,3.0,0.06635,0.0034,-0.0034,0.00491,-0.00491
3.1,3.0,3.2,0.06795,0.00401,-0.00401,0.00503,-0.00503
3.3,3.2,3.4,0.0577,0.0047,-0.0047,0.00427,-0.00427
3.5,3.4,3.6,0.06474,0.00545,-0.00545,0.00479,-0.00479
3.7,3.6,3.8,0.04519,0.0063,-0.0063,0.00334,-0.00334
3.9,3.8,4.0,0.05369,0.00725,-0.00725,0.00397,-0.00397
4.25,4.0,4.5,0.04027,0.00573,-0.00573,0.00298,-0.00298
4.75,4.5,5.0,0.02794,0.0077,-0.0077,0.00207,-0.00207
5.5,5.0,6.0,0.01107,0.00797,-0.00797,0.00082,-0.00082
6.5,6.0,7.0,0.002911,0.012531,-0.012531,0.000215,-0.000215
7.5,7.0,8.0,-0.02016,0.01832,-0.01832,0.00149,-0.00149
9.0,8.0,10.0,-0.1112,0.0205,-0.0205,0.0082,-0.0082
11.0,10.0,12.0,-0.04253,0.03513,-0.03513,0.00315,-0.00315

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,60.0-70.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,4.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.008351,0.00102,-0.00102,0.001169,-0.001169
0.7,0.6,0.8,0.01312,0.0008,-0.0008,0.00184,-0.00184
0.9,0.8,1.0,0.01992,0.00101,-0.00101,0.00279,-0.00279
1.1,1.0,1.2,0.02719,0.00126,-0.00126,0.00381,-0.00381
1.2999999999999998,1.2,1.4,0.03384,0.00157,-0.00157,0.00474,-0.00474
1.5,1.4,1.6,0.03739,0.00194,-0.00194,0.00524,-0.00524
1.7000000000000002,1.6,1.8,0.04773,0.0024,-0.0024,0.00668,-0.00668
1.9,1.8,2.0,0.05514,0.00294,-0.00294,0.00772,-0.00772
2.1,2.0,2.2,0.06216,0.00357,-0.00357,0.0087,-0.0087
2.3,2.2,2.4,0.0582,0.00432,-0.00432,0.00815,-0.00815
2.5,2.4,2.6,0.05658,0.0052,-0.0052,0.00792,-0.00792
2.7,2.6,2.8,0.07603,0.00619,-0.00619,0.01064,-0.01064
2.9,2.8,3.0,0.05844,0.00735,-0.00735,0.00818,-0.00818
3.1,3.0,3.2,0.0641,0.00866,-0.00866,0.00898,-0.00898
3.3,3.2,3.4,0.04449,0.01014,-0.01014,0.00623,-0.00623
3.5,3.4,3.6,0.0538,0.01176,-0.01176,0.00753,-0.00753
3.7,3.6,3.8,0.0607,0.0136,-0.0136,0.0085,-0.0085
3.9,3.8,4.0,0.08089,0.01565,-0.01565,0.01132,-0.01132
4.25,4.0,4.5,0.06836,0.01235,-0.01235,0.00957,-0.00957
4.75,4.5,5.0,0.06971,0.01662,-0.01662,0.00976,-0.00976
5.5,5.0,6.0,0.02269,0.0172,-0.0172,0.00318,-0.00318
6.5,6.0,7.0,0.08468,0.02709,-0.02709,0.01185,-0.01185
7.5,7.0,8.0,0.02378,0.03949,-0.03949,0.00333,-0.00333
9.0,8.0,10.0,0.1983,0.0441,-0.0441,0.0278,-0.0278
11.0,10.0,12.0,-0.02838,0.07571,-0.07571,0.00397,-0.00397

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,60.0-70.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,5.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n'
0.55,0.5,0.6,'-'
0.7,0.6,0.8,'-'
0.9,0.8,1.0,'-'
1.1,1.0,1.2,'-'
1.2999999999999998,1.2,1.4,'-'
1.5,1.4,1.6,'-'
1.7000000000000002,1.6,1.8,'-'
1.9,1.8,2.0,'-'
2.1,2.0,2.2,'-'
2.3,2.2,2.4,'-'
